Point_ID,latitude,longitude,BUFF_DIST,REFERENCE_YEAR,DOM_LAYER_PCT,DOM_LAYER_BASAL_AREA,DOM_LAYER_STEMS_PER_HA,DOM_LAYER_VERTICAL_COMPLEXITY,DOM_LAYER_COVER_PATTERN,DOM_LAYER_SPECIES_CODE,DOM_LAYER_HEIGHT,DOM_LAYER_AGE,DOM_LAYER_ID,Shape_Area
COTTONWOOD-1,52.89175898,-118.0925,300,2020,45,30,600,3,8,AT,23.4,127,A Layer,16920.43487
COTTONWOOD-1,52.89175898,-118.0925,300,2020,15,8,144,3,8,PLI,19.5,109,A Layer,20261.57365
COTTONWOOD-1,52.89175898,-118.0925,300,2020,40,20,765,4,8,SB,17.1,108,A Layer,3590.614174
COTTONWOOD-1,52.89175898,-118.0925,300,2020,5,3,50,5,8,FDI,23.3,151,A Layer,70948.18045
COTTONWOOD-1,52.89175898,-118.0925,300,2020,4,0,216,1,3,PLI,2,14,B Layer,1793.24641
COTTONWOOD-1,52.89175898,-118.0925,300,2020,55,42,750,3,8,PLI,24.2,142,A Layer,16892.80889
COTTONWOOD-1,52.89175898,-118.0925,300,2020,45,25,605,3,8,SX,18.5,92,A Layer,17192.76066
COTTONWOOD-1,52.89175898,-118.0925,300,2020,,,,,,,,,,1664.410942
COTTONWOOD-10,52.89605303,-118.0943,300,2020,7,3,90,4,8,AT,20.7,95,A Layer,13160.27437
COTTONWOOD-10,52.89605303,-118.0943,300,2022,10,4,137,3,8,PLI,19.8,90,A Layer,3146.700884
COTTONWOOD-10,52.89605303,-118.0943,300,2020,1,1,11,3,3,AT,24,100,A Layer,40744.01206
COTTONWOOD-10,52.89605303,-118.0943,300,2020,35,27,293,4,8,FDI,24.8,167,A Layer,23389.18943
COTTONWOOD-10,52.89605303,-118.0943,300,2020,45,32,625,3,8,FDI,21.9,129,A Layer,4257.283113
COTTONWOOD-10,52.89605303,-118.0943,300,2020,35,30,370,4,8,SW,22.1,100,A Layer,49761.13133
COTTONWOOD-10,52.89605303,-118.0943,300,2020,5,0,180,4,8,SB,4,55,A Layer,12442.32176
COTTONWOOD-10,52.89605303,-118.0943,300,2020,,,,,,,,,,3543.780657
COTTONWOOD-2,52.89256096,-118.0968,300,2020,5,0,180,4,8,SB,4,55,A Layer,1817.204325
COTTONWOOD-2,52.89256096,-118.0968,300,2020,1,1,13,4,3,PLI,23.3,141,A Layer,5969.742022
COTTONWOOD-2,52.89256096,-118.0968,300,2020,45,30,600,3,8,AT,23.4,127,A Layer,24884.55615
COTTONWOOD-2,52.89256096,-118.0968,300,2020,40,20,765,4,8,SB,17.1,108,A Layer,732.3803194
COTTONWOOD-2,52.89256096,-118.0968,300,2020,55,42,750,3,8,PLI,24.2,142,A Layer,36.83906585
