"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Buff-breasted sandpiper,Decreasing,Yes,Shorebirds
Bufflehead,Increasing,Yes,Waterfowl
Bufflehead,Increasing,Yes,Marine birds
Buller's shearwater,Data deficient,Yes,Marine birds
Bullock's oriole,Increasing,Yes,Long-distance migrants
Burrowing owl,Decreasing,No,Birds of prey
Burrowing owl,Decreasing,No,Grassland birds
Cackling goose,Increasing,Yes,Waterfowl
Cackling goose,Increasing,Yes,Arctic birds
California gull,Decreasing,Yes,Wetland birds
California gull,Decreasing,Yes,Marine birds
Calliope hummingbird,Stable,Yes,Long-distance migrants
Canada Goose,Increasing,Yes,Waterfowl
Canada Goose,Increasing,Yes,Wetland birds
Canada Jay,Stable,No,Forest birds
Canada warbler,Decreasing,Yes,Long-distance migrants
Canada warbler,Decreasing,Yes,Forest birds
Canvasback,Stable,Yes,Wetland birds
Canvasback,Stable,Yes,Waterfowl
Cape may warbler,Increasing,Yes,Long-distance migrants
Cape may warbler,Increasing,Yes,Forest birds
Caspian tern,Increasing,Yes,Marine birds
Caspian tern,Increasing,Yes,Wetland birds
Cassin's auklet,Decreasing,Yes,Marine birds
Cassin's finch,Decreasing,Yes,Forest birds
Cassin's Vireo,Stable,Yes,Forest birds
Cerulean warbler,Decreasing,Yes,Long-distance migrants
Cerulean warbler,Decreasing,Yes,Forest birds
Chestnut-backed chickadee,Decreasing,Yes,Forest birds
Chestnut-collared longspur,Decreasing,Yes,Grassland birds
Chestnut-sided warbler,Stable,Yes,Long-distance migrants
Chestnut-sided warbler,Stable,Yes,Forest birds
Chimney swift,Decreasing,Yes,Long-distance migrants
Chimney swift,Decreasing,Yes,Aerial insectivores
Chuck-will's-widow,Data deficient,Yes,Aerial insectivores
Chuck-will's-widow,Data deficient,Yes,Long-distance migrants
Chuck-will's-widow,Data deficient,Yes,Forest birds
Cinnamon teal,Increasing,Yes,Waterfowl
Cinnamon teal,Increasing,Yes,Wetland birds
Clark's grebe,Data deficient,Yes,Wetland birds
Clark's grebe,Data deficient,Yes,Marine birds
Clark's Nutcracker,Stable,No,Forest birds
Cliff swallow,Decreasing,Yes,Aerial insectivores
Cliff swallow,Decreasing,Yes,Long-distance migrants
Common eider,Stable,Yes,Arctic birds
Common eider,Stable,Yes,Marine birds
Common eider,Stable,Yes,Waterfowl
Common gallinule,Decreasing,Yes,Wetland birds
Common goldeneye,Stable,Yes,Marine birds
Common goldeneye,Stable,Yes,Waterfowl
Common goldeneye,Stable,Yes,Wetland birds
Common Loon,Increasing,Yes,Marine birds
Common Loon,Increasing,Yes,Wetland birds
Common merganser,Increasing,Yes,Wetland birds
Common merganser,Increasing,Yes,Waterfowl
Common murre,Stable,Yes,Marine birds
Common nighthawk,Decreasing,Yes,Aerial insectivores
Common nighthawk,Decreasing,Yes,Long-distance migrants
Common poorwill,Data deficient,Yes,Aerial insectivores
Common redpoll,Stable,Yes,Arctic birds
Common ringed plover,Data deficient,Yes,Arctic birds
Common ringed plover,Data deficient,Yes,Long-distance migrants
Common ringed plover,Data deficient,Yes,Shorebirds
Common tern,Decreasing,Yes,Marine birds
Common tern,Decreasing,Yes,Wetland birds
Common tern,Decreasing,Yes,Long-distance migrants
Common Yellowthroat,Stable,Yes,Wetland birds
Connecticut warbler,Decreasing,Yes,Forest birds
Connecticut warbler,Decreasing,Yes,Long-distance migrants
Cooper's hawk,Stable,No,Forest birds
Cooper's hawk,Stable,No,Birds of prey
Cory's shearwater,Data deficient,Yes,Marine birds
Dark-eyed Junco,Stable,Yes,Forest birds
Double-crested cormorant,Increasing,No,Marine birds
Double-crested cormorant,Increasing,No,Wetland birds
Dovekie,Data deficient,Yes,Arctic birds
Dovekie,Data deficient,Yes,Marine birds
Downy woodpecker,Stable,Yes,Forest birds
Dunlin,Decreasing,Yes,Arctic birds
Dunlin,Decreasing,Yes,Shorebirds
Dusky Flycatcher,Decreasing,Yes,Aerial insectivores
Dusky Flycatcher,Decreasing,Yes,Forest birds
Dusky grouse,Decreasing,No,Forest birds
Eared grebe,Increasing,Yes,Wetland birds
Eared grebe,Increasing,Yes,Marine birds
Eastern kingbird,Decreasing,Yes,Aerial insectivores
Eastern kingbird,Decreasing,Yes,Long-distance migrants
Eastern meadowlark,Decreasing,Yes,Grassland birds
Eastern phoebe,Decreasing,Yes,Aerial insectivores
Eastern screech-owl,Increasing,No,Birds of prey
Eastern screech-owl,Increasing,No,Forest birds
Eastern whip-poor-will,Decreasing,Yes,Forest birds
Eastern whip-poor-will,Decreasing,Yes,Aerial insectivores
Eastern wood-pewee,Decreasing,Yes,Forest birds
Eastern wood-pewee,Decreasing,Yes,Long-distance migrants
Eastern wood-pewee,Decreasing,Yes,Aerial insectivores
Eastern yellow wagtail,Data deficient,Yes,Long-distance migrants
Eastern yellow wagtail,Data deficient,Yes,Arctic birds
Eskimo curlew,Data deficient,Yes,Shorebirds
Eskimo curlew,Data deficient,Yes,Arctic birds
Eskimo curlew,Data deficient,Yes,Long-distance migrants
Evening grosbeak,Decreasing,Yes,Forest birds
Ferruginous hawk,Increasing,No,Birds of prey
Ferruginous hawk,Increasing,No,Grassland birds
Flammulated owl,Data deficient,No,Birds of prey
Flammulated owl,Data deficient,No,Forest birds
Flammulated owl,Data deficient,No,Long-distance migrants
Flesh-footed shearwater,Data deficient,Yes,Marine birds
Fork-tailed storm-petrel,Data deficient,Yes,Marine birds
Forster's tern,Decreasing,Yes,Marine birds
Forster's tern,Decreasing,Yes,Wetland birds
Franklin's gull,Decreasing,Yes,Wetland birds
Franklin's gull,Decreasing,Yes,Long-distance migrants
Gadwall,Increasing,Yes,Wetland birds
Gadwall,Increasing,Yes,Waterfowl
Glaucous gull,Decreasing,Yes,Marine birds
Glaucous gull,Decreasing,Yes,Arctic birds
Glaucous-winged gull,Decreasing,Yes,Marine birds
Golden eagle,Stable,No,Birds of prey
Golden-crowned Kinglet,Stable,Yes,Forest birds
Golden-winged warbler,Increasing,Yes,Long-distance migrants
Grasshopper sparrow,Decreasing,Yes,Grassland birds
Gray-cheeked thrush,Decreasing,Yes,Long-distance migrants
Gray-cheeked thrush,Decreasing,Yes,Forest birds
Gray-headed chickadee,Data deficient,Yes,Arctic birds
Great black-backed gull,Decreasing,Yes,Marine birds
Great blue heron,Stable,Yes,Wetland birds
Great cormorant,Stable,No,Marine birds
Great crested flycatcher,Decreasing,Yes,Aerial insectivores
Great crested flycatcher,Decreasing,Yes,Long-distance migrants
Great crested flycatcher,Decreasing,Yes,Forest birds
Great gray owl,Increasing,No,Forest birds
Great gray owl,Increasing,No,Birds of prey
Great horned owl,Decreasing,No,Birds of prey
Great shearwater,Data deficient,Yes,Marine birds
Great skua,Data deficient,Yes,Marine birds
Greater sage-grouse,Decreasing,No,Grassland birds
Greater scaup,Stable,Yes,Waterfowl
Greater scaup,Stable,Yes,Marine birds
Greater white-fronted goose,Increasing,Yes,Waterfowl
Greater white-fronted goose,Increasing,Yes,Arctic birds
Greater yellowlegs,Increasing,Yes,Shorebirds
Green heron,Decreasing,Yes,Wetland birds
Green-winged teal,Stable,Yes,Waterfowl
Green-winged teal,Stable,Yes,Wetland birds
Gyrfalcon,Decreasing,No,Birds of prey
Gyrfalcon,Decreasing,No,Arctic birds
Hairy Woodpecker,Increasing,Yes,Forest birds
Hammond's Flycatcher,Increasing,Yes,Forest birds
Hammond's Flycatcher,Increasing,Yes,Aerial insectivores
Harlequin duck,Stable,Yes,Waterfowl
Harlequin duck,Stable,Yes,Marine birds
Harris's sparrow,Decreasing,Yes,Arctic birds
Heermann's gull,Increasing,Yes,Marine birds
Henslow's sparrow,Decreasing,Yes,Grassland birds
Hermit Thrush,Decreasing,Yes,Forest birds
Herring gull,Decreasing,Yes,Marine birds
Hoary redpoll,Stable,Yes,Arctic birds
Hooded merganser,Increasing,Yes,Waterfowl
Hooded merganser,Increasing,Yes,Wetland birds
Hooded warbler,Increasing,Yes,Forest birds
